MovieID,Title
m1,Toy Story (1995)
m10,GoldenEye (1995)
m100,City Hall (1996)
m1000,Curdled (1996)
m1002,Ed's Next Move (1996)
m1003,Extreme Measures (1996)
m1004,"Glimmer Man, The (1996)"
m1005,D3: The Mighty Ducks (1996)
m1006,"Chamber, The (1996)"
m1007,"Apple Dumpling Gang, The (1975)"
m1008,"Davy Crockett, King of the Wild Frontier (1955)"
m1009,Escape to Witch Mountain (1975)
m101,Bottle Rocket (1996)
m1010,"Love Bug, The (1969)"
m1011,Herbie Rides Again (1974)
m1012,Old Yeller (1957)
m1013,"Parent Trap, The (1961)"
m1014,Pollyanna (1960)
m1015,Homeward Bound: The Incredible Journey (1993)
m1016,"Shaggy Dog, The (1959)"
m1017,Swiss Family Robinson (1960)
m1018,That Darn Cat! (1965)
m1019,"20,000 Leagues Under the Sea (1954)"
m102,Mr. Wrong (1996)
m1020,Cool Runnings (1993)
m1021,Angels in the Outfield (1994)
m1022,Cinderella (1950)
m1023,Winnie the Pooh and the Blustery Day (1968)
m1024,"Three Caballeros, The (1945)"
m1025,"Sword in the Stone, The (1963)"
m1026,So Dear to My Heart (1949)
m1027,Robin Hood: Prince of Thieves (1991)
m1028,Mary Poppins (1964)
m1029,Dumbo (1941)
m103,Unforgettable (1996)
m1030,Pete's Dragon (1977)
m1031,Bedknobs and Broomsticks (1971)
m1032,Alice in Wonderland (1951)
m1033,"Fox and the Hound, The (1981)"
m1034,Freeway (1996)
m1035,"Sound of Music, The (1965)"
m1036,Die Hard (1988)
m1037,"Lawnmower Man, The (1992)"
m1038,Unhook the Stars (1996)
m1039,Synthetic Pleasures (1995)
m104,Happy Gilmore (1996)
m1040,"Secret Agent, The (1996)"
m1041,Secrets & Lies (1996)
m1042,That Thing You Do! (1996)
m1043,To Gillian on Her 37th Birthday (1996)
m1044,Surviving Picasso (1996)
m1046,Beautiful Thing (1996)
m1047,"Long Kiss Goodnight, The (1996)"
m1049,"Ghost and the Darkness, The (1996)"
m105,"Bridges of Madison County, The (1995)"
m1050,Looking for Richard (1996)
m1051,Trees Lounge (1996)
m1053,Normal Life (1996)
m1054,Get on the Bus (1996)
m1055,Shadow Conspiracy (1997)
m1056,Jude (1996)
m1057,Everyone Says I Love You (1996)
m1058,Bitter Sugar (Azucar Amargo) (1996)
m1059,William Shakespeare's Romeo and Juliet (1996)
m106,Nobody Loves Me (Keiner liebt mich) (1994)
m1060,Swingers (1996)
m1061,Sleepers (1996)
m1062,"Sunchaser, The (1996)"
