MovieID,Genres,Title
590,Western,Dances with Wolves (1990)
1304,Western,Butch Cassidy and the Sundance Kid (1969)
2012,Western,Back to the Future Part III (1990)
3671,Western,Blazing Saddles (1974)
1266,Western,Unforgiven (1992)
2701,Western,Wild Wild West (1999)
1201,Western,"Good, The Bad and The Ugly, The (1966)"
368,Western,Maverick (1994)
266,Western,Legends of the Fall (1994)
2527,Western,Westworld (1973)
1196,War,Star Wars: Episode V - The Empire Strikes Back (1980)
1210,War,Star Wars: Episode VI - Return of the Jedi (1983)
2028,War,Saving Private Ryan (1998)
110,War,Braveheart (1995)
527,War,Schindler's List (1993)
356,War,Forrest Gump (1994)
1200,War,Aliens (1986)
780,War,Independence Day (ID4) (1996)
912,War,Casablanca (1942)
750,War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
589,Thriller,Terminator 2: Judgment Day (1991)
2571,Thriller,"Matrix, The (1999)"
593,Thriller,"Silence of the Lambs, The (1991)"
608,Thriller,Fargo (1996)
2762,Thriller,"Sixth Sense, The (1999)"
1617,Thriller,L.A. Confidential (1997)
1240,Thriller,"Terminator, The (1984)"
1214,Thriller,Alien (1979)
2916,Thriller,Total Recall (1990)
457,Thriller,"Fugitive, The (1993)"
260,Sci-Fi,Star Wars: Episode IV - A New Hope (1977)
1196,Sci-Fi,Star Wars: Episode V - The Empire Strikes Back (1980)
1210,Sci-Fi,Star Wars: Episode VI - Return of the Jedi (1983)
480,Sci-Fi,Jurassic Park (1993)
589,Sci-Fi,Terminator 2: Judgment Day (1991)
2571,Sci-Fi,"Matrix, The (1999)"
1270,Sci-Fi,Back to the Future (1985)
1580,Sci-Fi,Men in Black (1997)
1097,Sci-Fi,E.T. the Extra-Terrestrial (1982)
2628,Sci-Fi,Star Wars: Episode I - The Phantom Menace (1999)
1210,Romance,Star Wars: Episode VI - Return of the Jedi (1983)
2396,Romance,Shakespeare in Love (1998)
1197,Romance,"Princess Bride, The (1987)"
1265,Romance,Groundhog Day (1993)
356,Romance,Forrest Gump (1994)
912,Romance,Casablanca (1942)
377,Romance,Speed (1994)
1307,Romance,When Harry Met Sally... (1989)
1721,Romance,Titanic (1997)
2291,Romance,Edward Scissorhands (1990)
1617,Mystery,L.A. Confidential (1997)
924,Mystery,2001: A Space Odyssey (1968)
648,Mystery,Mission: Impossible (1996)
3176,Mystery,"Talented Mr. Ripley, The (1999)"
1252,Mystery,Chinatown (1974)
1732,Mystery,"Big Lebowski, The (1998)"
904,Mystery,Rear Window (1954)
913,Mystery,"Maltese Falcon, The (1941)"
1909,Mystery,"X-Files: Fight the Future, The (1998)"
903,Mystery,Vertigo (1958)
919,Musical,"Wizard of Oz, The (1939)"
588,Musical,Aladdin (1992)
1220,Musical,"Blues Brothers, The (1980)"
